,n_step,energy,average_magnetization
0,0.0,-146.0,0.03
1,1.0,-176.0,-0.01
2,2.0,-182.0,0.04
3,3.0,-208.0,-0.01
4,4.0,-184.0,0.01
5,5.0,-226.0,0.015
6,6.0,-230.0,-0.085
7,7.0,-252.0,-0.055
8,8.0,-178.0,0.02
9,9.0,-194.0,0.04
10,10.0,-194.0,0.005
11,11.0,-198.0,0.045
12,12.0,-184.0,0.055
13,13.0,-156.0,0.05
14,14.0,-180.0,-0.07
15,15.0,-206.0,-0.125
16,16.0,-256.0,-0.095
17,17.0,-212.0,-0.015
18,18.0,-178.0,-0.07
19,19.0,-188.0,-0.07
20,20.0,-162.0,0.085
21,21.0,-184.0,0.135
22,22.0,-118.0,0.07
23,23.0,-150.0,0.085
24,24.0,-174.0,0.005
25,25.0,-190.0,0.085
26,26.0,-206.0,0.085
27,27.0,-132.0,0.07
28,28.0,-114.0,0.01
29,29.0,-200.0,0.07
30,30.0,-222.0,0.025
31,31.0,-182.0,-0.045
32,32.0,-168.0,0.05
33,33.0,-146.0,0.03
34,34.0,-168.0,-0.015
35,35.0,-194.0,0.005
36,36.0,-64.0,0.005
37,37.0,-202.0,-0.03
38,38.0,-206.0,0.185
39,39.0,-146.0,0.075
40,40.0,-136.0,0.045
41,41.0,-172.0,0.03
42,42.0,-178.0,-0.04
43,43.0,-196.0,0.015
44,44.0,-206.0,-0.01
45,45.0,-180.0,-0.09
46,46.0,-166.0,-0.05
47,47.0,-162.0,0.005
48,48.0,-226.0,0.13
49,49.0,-228.0,-0.07
50,50.0,-194.0,-0.01
51,51.0,-236.0,-0.01
52,52.0,-192.0,0.02
53,53.0,-140.0,0.125
54,54.0,-174.0,0.105
55,55.0,-236.0,0.14
56,56.0,-226.0,0.18
57,57.0,-172.0,0.13
58,58.0,-202.0,0.055
59,59.0,-144.0,-0.08
60,60.0,-204.0,-0.01
61,61.0,-192.0,-0.02
62,62.0,-222.0,0.035
63,63.0,-176.0,0.11
64,64.0,-184.0,0.07
65,65.0,-210.0,0.045
66,66.0,-216.0,0.05
67,67.0,-172.0,0.055
68,68.0,-190.0,0.0
69,69.0,-172.0,-0.04
70,70.0,-234.0,0.105
71,71.0,-190.0,0.09
72,72.0,-144.0,0.045
73,73.0,-134.0,0.065
74,74.0,-172.0,0.07
75,75.0,-190.0,0.075
76,76.0,-192.0,-0.02
77,77.0,-154.0,0.055
78,78.0,-152.0,0.01
79,79.0,-208.0,0.025
80,80.0,-196.0,0.0
81,81.0,-150.0,-0.12
82,82.0,-176.0,-0.17
83,83.0,-180.0,0.025
84,84.0,-252.0,0.07
85,85.0,-230.0,0.095
86,86.0,-148.0,0.01
87,87.0,-236.0,-0.08
88,88.0,-160.0,-0.065
89,89.0,-174.0,-0.165
90,90.0,-202.0,-0.155
91,91.0,-184.0,-0.165
92,92.0,-168.0,-0.045
93,93.0,-154.0,-0.1
94,94.0,-180.0,-0.105
95,95.0,-168.0,-0.03
96,96.0,-262.0,-0.145
97,97.0,-184.0,-0.16
98,98.0,-178.0,-0.07
99,99.0,-164.0,-0.09
100,100.0,-228.0,-0.05
101,101.0,-174.0,-0.03
102,102.0,-178.0,0.085
103,103.0,-166.0,-0.025
104,104.0,-176.0,0.1
105,105.0,-168.0,0.07
106,106.0,-176.0,0.08
107,107.0,-192.0,0.09
108,108.0,-178.0,0.085
109,109.0,-162.0,0.12
110,110.0,-172.0,0.115
111,111.0,-182.0,0.195
112,112.0,-208.0,0.11
113,113.0,-190.0,0.12
114,114.0,-164.0,0.02
115,115.0,-188.0,-0.005
116,116.0,-198.0,0.1
117,117.0,-144.0,0.08
118,118.0,-154.0,0.04
119,119.0,-160.0,0.11
120,120.0,-186.0,-0.025
121,121.0,-194.0,-0.025
122,122.0,-168.0,0.065
123,123.0,-176.0,0.08
124,124.0,-162.0,0.09
125,125.0,-134.0,0.075
126,126.0,-174.0,0.065
127,127.0,-190.0,0.005
128,128.0,-174.0,0.045
129,129.0,-140.0,-0.045
130,130.0,-110.0,-0.01
131,131.0,-152.0,0.075
132,132.0,-210.0,0.135
133,133.0,-222.0,0.075
134,134.0,-194.0,-0.03
135,135.0,-218.0,-0.17
136,136.0,-208.0,-0.245
137,137.0,-232.0,-0.11
138,138.0,-198.0,-0.075
139,139.0,-170.0,-0.035
140,140.0,-200.0,-0.01
141,141.0,-178.0,-0.065
142,142.0,-188.0,-0.02
143,143.0,-186.0,-0.1
144,144.0,-192.0,-0.065
145,145.0,-184.0,-0.01
146,146.0,-132.0,-0.01
147,147.0,-130.0,-0.065
148,148.0,-184.0,-0.11
149,149.0,-132.0,-0.09
150,150.0,-154.0,-0.08
151,151.0,-158.0,0.015
152,152.0,-188.0,0.005
153,153.0,-224.0,0.005
154,154.0,-166.0,0.08
155,155.0,-154.0,0.07
156,156.0,-166.0,0.145
157,157.0,-172.0,0.095
158,158.0,-216.0,0.03
159,159.0,-208.0,-0.155
160,160.0,-178.0,-0.05
161,161.0,-170.0,-0.14
162,162.0,-200.0,-0.08
163,163.0,-186.0,-0.05
164,164.0,-128.0,-0.02
165,165.0,-166.0,-0.025
166,166.0,-202.0,-0.005
167,167.0,-198.0,0.08
168,168.0,-130.0,0.105
169,169.0,-88.0,0.055
170,170.0,-154.0,0.02
171,171.0,-198.0,-0.02
172,172.0,-184.0,0.09
173,173.0,-126.0,0.06
174,174.0,-190.0,0.125
175,175.0,-140.0,-0.04
176,176.0,-156.0,-0.04
177,177.0,-148.0,-0.02
178,178.0,-190.0,-0.095
179,179.0,-162.0,-0.02
180,180.0,-200.0,-0.015
181,181.0,-186.0,0.04
182,182.0,-176.0,0.06
183,183.0,-166.0,0.03
184,184.0,-142.0,0.04
185,185.0,-154.0,0.03
186,186.0,-136.0,0.03
187,187.0,-214.0,0.03
188,188.0,-192.0,0.05
189,189.0,-146.0,-0.03
190,190.0,-222.0,-0.005
191,191.0,-112.0,0.015
192,192.0,-174.0,0.01
193,193.0,-186.0,0.075
194,194.0,-156.0,-0.005
195,195.0,-176.0,-0.13
196,196.0,-140.0,-0.16
197,197.0,-190.0,-0.05
198,198.0,-170.0,-0.04
199,199.0,-198.0,-0.15
200,200.0,-158.0,0.005
201,201.0,-194.0,-0.035
202,202.0,-192.0,0.065
203,203.0,-192.0,0.065
204,204.0,-186.0,0.09
205,205.0,-188.0,0.06
206,206.0,-188.0,0.09
207,207.0,-222.0,0.015
208,208.0,-220.0,0.045
209,209.0,-158.0,0.175
210,210.0,-176.0,0.125
211,211.0,-216.0,0.11
212,212.0,-204.0,0.14
213,213.0,-158.0,0.01
214,214.0,-116.0,0.075
215,215.0,-180.0,0.115
